"","addrpct","perc_142007","perc_142008","perc_142009","perc_142010","perc_242007","perc_242008","perc_242009","perc_242010","perc_272007","perc_272008","perc_272009","perc_272010","perc_282007","perc_282008","perc_282009","perc_282010","perc_452007","perc_452008","perc_452009","perc_452010","perc_582007","perc_582008","perc_582009","perc_582010","perc_622007","perc_622008","perc_622009","perc_622010","perc_722007","perc_722008","perc_722009","perc_722010","perc_742007","perc_742008","perc_742009","perc_742010","perc_772007","perc_772008","perc_772009","perc_772010","perc_852007","perc_852008","perc_852009","perc_852010","perc_92007","perc_92008","perc_92009","perc_92010","perc_952007","perc_952008","perc_952009","perc_952010"
"216",123,46.9604863221885,66.0473588342441,50.5948215535339,42.6839126919968,11.6514690982776,7.68670309653916,5.73827851644507,7.76071139854487,1.87436676798379,2.18579234972678,4.47865640307908,8.81164106709782,10.1823708206687,10.3460837887067,15.0454863540938,12.6919967663703,21.1246200607903,9.54462659380692,16.5850244926522,15.8447857720291,0.151975683890578,NA,0.139958012596221,0.0808407437348424,NA,0.0728597449908925,NA,0.0808407437348424,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0364298724954463,NA,NA,3.09017223910841,2.58652094717668,3.91882435269419,7.11398544866613,4.86322188449848,1.4936247723133,3.49895031490553,4.93128536782538,0.101317122593718,NA,NA,NA
"225",13,8.44673862036603,16.3111256974073,12.9875351829513,17.6977687626775,7.46128578132332,2.59271414506072,4.14153598713309,2.78904665314402,2.62787423744721,1.67377748605185,1.72899075190993,2.6369168356998,7.03894885030502,6.99048244174598,6.87575392038601,5.02028397565923,32.8015016424214,41.77879881851,42.0587052673904,39.5030425963489,0.187705302674801,0.0656383327863472,0.120627261761158,0.152129817444219,0.0469263256687001,NA,0.120627261761158,0.050709939148073,NA,NA,NA,NA,0.891600187705303,1.90351165080407,2.09087253719341,0.811359026369168,NA,0.0656383327863472,0.120627261761158,0.050709939148073,26.3725950258095,19.1992123400066,19.9437072778448,18.8640973630832,14.0309713749413,9.18936659008861,9.73059911540008,11.5618661257606,0.0938526513374003,0.229734164752215,0.0804181745074387,0.862068965517241
"236",14,6.60686939400569,7.03595389643902,4.08304498269896,4.84472049689441,5.0973528768322,3.69860657147772,1.91464821222607,3.16770186335404,1.61890177204113,0.963357990710476,2.32987312572088,5.96273291925466,10.2165828046379,3.81902632031653,1.79930795847751,2.98136645962733,53.2268650185955,64.7686220540169,68.3044982698962,56.935817805383,0.196893458761759,0.0860141063134354,0.0230680507497117,0.062111801242236,NA,0.0688112850507483,NA,0.062111801242236,0.0218770509735288,NA,NA,0.020703933747412,3.0409100853205,2.04713573025976,1.47635524798155,1.34575569358178,0.0875082038941151,0.0516084637880612,0.0230680507497117,0.082815734989648,11.8792386786261,9.96043351109582,12.318339100346,11.6977225672878,7.39444322905272,7.3284018579047,7.26643598615917,9.19254658385093,0.612557427258806,0.172028212626871,0.461361014994233,3.64389233954451
"248",17,25.9183673469388,32.4143070044709,37.6973073351903,23.1433506044905,4.38775510204082,3.80029806259314,3.24976787372331,7.16753022452504,1.63265306122449,0.819672131147541,1.29990714948932,1.89982728842832,3.57142857142857,2.90611028315946,3.1569173630455,5.69948186528497,35.3061224489796,33.1594634873323,29.4336118848654,27.0293609671848,0.306122448979592,0.14903129657228,NA,0.0863557858376511,0.102040816326531,NA,NA,NA,NA,NA,NA,NA,1.83673469387755,1.34128166915052,3.1569173630455,0.949913644214162,NA,0.0745156482861401,NA,0.0863557858376511,16.734693877551,13.1147540983607,13.3704735376045,19.7754749568221,7.75510204081633,9.01639344262295,5.57103064066852,9.06735751295337,2.44897959183673,3.20417287630402,3.06406685236769,5.09499136442142
"259",18,17.5,16.6584280771132,8.21181887950883,8.47560975609756,5.27777777777778,7.66188828472566,5.14198004604758,2.6219512195122,4.58333333333333,1.82896688087,2.53261703760553,4.69512195121951,7.36111111111111,4.99258526940188,3.60706062931696,3.35365853658537,34.8611111111111,42.2145328719723,49.1941673062164,47.3170731707317,0.138888888888889,0.0988630746416213,0.0767459708365311,0.182926829268293,NA,0.0494315373208107,NA,0.0609756097560976,NA,NA,NA,NA,2.29166666666667,5.48690064260999,3.68380660015349,1.76829268292683,NA,0.0988630746416213,0.153491941673062,NA,14.0972222222222,10.97380128522,10.8979278587874,12.2560975609756,13.0555555555556,9.68858131487889,15.1189562547966,16.7073170731707,0.833333333333333,0.247157686604053,1.38142747505756,2.5609756097561
"269",19,30.4568527918782,43.476821192053,27.85,33.7016574585635,4.67005076142132,4.00662251655629,3.7,1.86995325116872,2.63959390862944,1.95364238410596,3.45,1.95495112622184,3.04568527918782,3.70860927152318,5.05,1.27496812579686,19.8307952622673,21.6556291390729,25.1,26.1793455163621,0.27072758037225,0.033112582781457,NA,NA,NA,0.0662251655629139,NA,0.127496812579686,NA,NA,NA,NA,0.0338409475465313,0.0993377483443709,0.1,NA,0.135363790186125,0.0662251655629139,0.05,0.0424989375265618,23.2148900169205,11.2913907284768,23.3,20.6969825754356,15.2961082910321,13.4105960264901,11.1,13.5996600084998,0.406091370558376,0.231788079470199,0.3,0.552486187845304
"280",20,25.882946518668,26.2229806598407,24.2424242424242,21.834385443743,5.04540867810293,6.02957906712173,8.27505827505827,4.90159673226885,5.39858728557013,2.84414106939704,5.41958041958042,3.30486446342369,2.82542885973764,2.04778156996587,6.29370629370629,1.78239881173413,27.3965691220989,25.995449374289,28.030303030303,33.3085777942815,0.201816347124117,NA,NA,NA,NA,0.0568828213879408,NA,NA,NA,NA,NA,NA,0.302724520686176,0.0568828213879408,0.0582750582750583,0.0742666171555886,NA,NA,0.116550116550117,0.185666542888971,11.4026236125126,16.382252559727,10.5477855477855,19.8291867805421,21.1402623612513,20.2502844141069,16.6666666666667,14.0363906424062,0.403632694248234,0.113765642775882,0.34965034965035,0.742666171555886
"290",22,NA,1.1605415860735,0.886917960088692,1.22448979591837,9.98650472334683,9.47775628626692,12.4168514412417,13.5714285714286,16.4642375168691,27.2727272727273,23.7250554323725,16.3265306122449,1.61943319838057,1.54738878143133,1.77383592017738,1.42857142857143,6.61268556005398,11.9922630560928,4.8780487804878,18.265306122449,NA,0.773694390715667,0.221729490022173,NA,NA,0.386847195357834,NA,NA,0.404858299595142,NA,NA,NA,0.134952766531714,0.386847195357834,NA,0.918367346938776,0.134952766531714,0.193423597678917,0.221729490022173,1.22448979591837,57.4898785425101,39.6518375241779,50.5543237250554,39.7959183673469,7.15249662618084,7.15667311411992,5.32150776053215,7.24489795918367,NA,NA,NA,NA
"299",23,2.56231073841137,4.18924551896624,2.14578731461029,3.51315031675946,19.2406242720708,12.2551062942893,19.0911959608709,16.6826646189288,10.062893081761,11.8382659441434,21.9627642789524,29.8329813783836,24.132308409038,29.8040850354314,17.2609656042916,15.0124784027644,2.8185418122525,3.62651104626928,4.85957715367624,2.82203877903628,0.0931749359422315,0.312630262609421,0.25244556642474,0.191975427145325,0.535755881667831,0.0625260525218841,0.0946670874092774,0.115185256287195,NA,0.0208420175072947,0.0946670874092774,NA,0.0931749359422315,0.104210087536474,0.0946670874092774,0.134382799001728,0.139762403913347,0.0833680700291788,0.0946670874092774,0.134382799001728,34.1486140228279,30.9295539808253,24.1716629851688,22.1155692071415,6.17283950617284,6.75281367236348,9.84537709056485,9.33000575926281,NA,0.0208420175072947,0.0315556958030925,0.115185256287195
"310",24,4.67861827721906,5.19607843137255,7.0254110612855,8.21375556655121,23.1307389593354,13.3823529411765,10.6128550074738,8.56011875309253,6.82116309575864,6.86274509803922,5.4559043348281,9.05492330529441,20.6383909051159,17.5490196078431,9.86547085201794,6.92726373082632,20.3760384783559,25.0490196078431,27.0553064275037,23.156853043048,0.131176213379974,0.0980392156862745,0.448430493273543,0.049480455220188,NA,0.196078431372549,NA,0.049480455220188,NA,NA,NA,NA,0.0874508089199825,0.147058823529412,0.224215246636771,NA,NA,0.0490196078431373,0.149476831091181,0.544285007422068,17.6650634018365,22.9411764705882,29.2974588938714,31.3706086095992,6.47135986007871,8.43137254901961,9.86547085201794,11.8753092528451,NA,0.0980392156862745,NA,0.197921820880752
